near,Category,sentiment,Score_cat
austin,addictions,Negative,70
austin,addictions,Neutral,320
austin,addictions,Positive,20
austin,crimes,Negative,3923
austin,crimes,Neutral,7206
austin,crimes,Positive,930
austin,guns,Negative,34
austin,guns,Neutral,137
austin,guns,Positive,3
austin,hate,Negative,45
austin,hate,Neutral,33
austin,hate,Positive,7
chicago,addictions,Negative,66
chicago,addictions,Neutral,419
chicago,addictions,Positive,13
chicago,crimes,Negative,4284
chicago,crimes,Neutral,7316
chicago,crimes,Positive,925
chicago,guns,Negative,19
chicago,guns,Neutral,145
chicago,guns,Positive,2
chicago,hate,Negative,39
chicago,hate,Neutral,44
chicago,hate,Positive,8
dallas,addictions,Negative,65
dallas,addictions,Neutral,280
dallas,addictions,Positive,8
dallas,crimes,Negative,4958
dallas,crimes,Neutral,6729
dallas,crimes,Positive,1012
dallas,guns,Negative,20
dallas,guns,Neutral,95
dallas,guns,Positive,2
dallas,hate,Negative,42
dallas,hate,Neutral,43
dallas,hate,Positive,3
houston,addictions,Negative,79
houston,addictions,Neutral,226
houston,addictions,Positive,10
houston,crimes,Negative,5129
houston,crimes,Neutral,6821
houston,crimes,Positive,938
houston,guns,Negative,22
houston,guns,Neutral,132
houston,guns,Positive,5
houston,hate,Negative,50
houston,hate,Neutral,36
houston,hate,Positive,4
los angeles,addictions,Negative,70
los angeles,addictions,Neutral,300
los angeles,addictions,Positive,18
los angeles,crimes,Negative,4180
los angeles,crimes,Neutral,7345
los angeles,crimes,Positive,981
los angeles,guns,Negative,23
los angeles,guns,Neutral,106
los angeles,guns,Positive,5
los angeles,hate,Negative,38
los angeles,hate,Neutral,53
los angeles,hate,Positive,3
new york city,addictions,Negative,64
new york city,addictions,Neutral,314
new york city,addictions,Positive,12
new york city,crimes,Negative,4196
new york city,crimes,Neutral,7432
new york city,crimes,Positive,922
new york city,guns,Negative,18
new york city,guns,Neutral,152
new york city,guns,Positive,5
new york city,hate,Negative,47
new york city,hate,Neutral,55
new york city,hate,Positive,8
philadelphia,addictions,Negative,60
philadelphia,addictions,Neutral,337
philadelphia,addictions,Positive,18
philadelphia,crimes,Negative,4156
philadelphia,crimes,Neutral,7512
philadelphia,crimes,Positive,933
philadelphia,guns,Negative,11
philadelphia,guns,Neutral,153
philadelphia,guns,Positive,2
philadelphia,hate,Negative,56
philadelphia,hate,Neutral,44
philadelphia,hate,Positive,1
phoenix,addictions,Negative,65
phoenix,addictions,Neutral,328
phoenix,addictions,Positive,17
phoenix,crimes,Negative,4210
phoenix,crimes,Neutral,6475
phoenix,crimes,Positive,886
phoenix,guns,Negative,29
phoenix,guns,Neutral,110
phoenix,guns,Positive,3
phoenix,hate,Negative,56
phoenix,hate,Neutral,56
phoenix,hate,Positive,2
san antonio,addictions,Negative,67
san antonio,addictions,Neutral,311
san antonio,addictions,Positive,20
san antonio,crimes,Negative,4816
san antonio,crimes,Neutral,6603
san antonio,crimes,Positive,966
san antonio,guns,Negative,29
san antonio,guns,Neutral,150
san antonio,guns,Positive,5
san antonio,hate,Negative,38
san antonio,hate,Neutral,40
san antonio,hate,Positive,4
san diego,addictions,Negative,52
san diego,addictions,Neutral,258
san diego,addictions,Positive,13
san diego,crimes,Negative,3933
san diego,crimes,Neutral,7005
san diego,crimes,Positive,898
san diego,guns,Negative,24
san diego,guns,Neutral,101
san diego,guns,Positive,3
san diego,hate,Negative,42
san diego,hate,Neutral,48
san diego,hate,Positive,5
